show_id,type,title,director,cast,country,date_added,release_year,rating,duration_minutes,duration_seasons
s6426,Movie,Casa de mi Padre,Matt Piedmont,"Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez","United States, Mexico",14/11/2012,2012,R,84,
s7242,Movie,Kung Fu Panda: Holiday,Tim Johnson,"Jack Black, Angelina Jolie, Dustin Hoffman, Jackie Chan, Seth Rogen, Lucy Liu, David Cross, James Hong, Dan Fogler",United States,1/12/2012,2010,TV-PG,26,
s7113,TV Show,Jack Taylor,Stuart Orme,"Iain Glen, Killian Scott, Nora-Jane Noone, Tara Breathnach, Frank O'Sullivan","United States, Ireland",31/3/2013,2016,TV-MA,,1
s5941,TV Show,Breaking Bad,Unknown,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito",United States,2/8/2013,2013,TV-MA,,5
s5940,TV Show,The 4400,Unknown,"Joel Gretsch, Jacqueline McKenzie, Patrick John Flueger, Conchita Campbell, Chad Faust, Richard Kahan, Mahershala Ali, Billy Campbell","United States, United Kingdom",1/9/2013,2007,TV-14,,4
s7057,Movie,Iliza Shlesinger: War Paint,Jay Chapman,Iliza Shlesinger,United States,1/9/2013,2013,NR,75,
s6886,TV Show,Gossip Girl,Unknown,"Blake Lively, Leighton Meester, Penn Badgley, Chace Crawford, Ed Westwick, Kelly Rutherford, Matthew Settle, Taylor Momsen, Jessica Szohr, Zuzanna Szadkowski, Connor Paolo",United States,8/10/2013,2012,TV-14,,6
s7909,TV Show,Russell Peters vs. the World,Unknown,Russell Peters,United States,14/10/2013,2013,NR,,1
s7910,Movie,Russell Peters: Notorious,Dave Higby,Russell Peters,United States,14/10/2013,2013,NR,72,
s5939,Movie,Aziz Ansari: Buried Alive,"Will Lovelace, Dylan Southern",Aziz Ansari,United States,1/11/2013,2013,TV-MA,80,
s6055,Movie,A Russell Peters Christmas,Henry Sarwer-Foner,"Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange",Canada,1/11/2013,2011,NR,44,
s5937,Movie,Shrek the Musical,Jason Moore,"Brian d'Arcy James, Daniel Breaker, Sutton Foster, Christopher Sieber, John Tartaglia, Rozi Baker, Ryan Duncan, Leah Greenhaus, Chris Hoch, Marissa O'Donnell, Denny Paschall",United States,29/12/2013,2013,TV-G,130,
s5938,Movie,The Short Game,Josh Greenbaum,"Sky Sudberry, Allan Kournikova, Jed Dy, Zamokuhle Nxasana, Alexa Pano, Amari Avery, Augustin Valery, Kuang Yang, Jack Nicklaus, Gary Player",United States,12/12/2013,2013,PG,100,
s5935,Movie,Mitt,Greg Whiteley,Mitt Romney,United States,24/1/2014,2014,TV-PG,93,
s5936,Movie,The Square,Jehane Noujaim,"Ahmed Hassan, Khalid Abdalla, Magdy Ashour, Ramy Essam, Bothaina Kamel, Dina Abdullah, Aida Elkashef, Ragia Omran, Pierre Seyoufr, Dina Amer, Sherif Boray, Khaled Nagy, Salma Saied, Ahmed Saleh, Alaa Seif","United Kingdom, Egypt, United States",17/1/2014,2013,TV-MA,105,
s5934,TV Show,The Borgias,Unknown,"Jeremy Irons, François Arnaud, Holliday Grainger, Peter Sullivan, Sean Harris, Joanne Whalley, Lotte Verbeek, Colm Feore, Vernon Dobtcheff, David Oakes","United States, Hungary, Ireland, Canada",1/2/2014,2013,TV-MA,,3
s7416,Movie,Marvel's Iron Man & Hulk: Heroes United,"Leo Riley, Eric Radomski","Adrian Pasdar, Fred Tatasciore, Dee Bradley Baker, Robin Atkin Downes, David Kaye",United States,16/2/2014,2013,PG,72,
s5933,Movie,From One Second to the Next,Werner Herzog,Unknown,United States,15/4/2014,2013,TV-14,35,
s8711,TV Show,Weeds,Unknown,"Mary-Louise Parker, Hunter Parrish, Alexander Gould, Kevin Nealon, Justin Kirk, Elizabeth Perkins, Allie Grant, Andy Milder, Tonye Patano, Romany Malco",United States,1/4/2014,2012,TV-MA,,8
s8456,Movie,The Pirate Fairy,Peggy Holmes,"Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu, Raven-Symoné, Megan Hilty, Pamela Adlon, Angela Bartys, Jim Cummings, Carlos Ponce, Mick Wingert, Kevin Michael Richardson, Jeff Bennett, Rob Paulsen, Grey DeLisle, Kari Wahlgren, Jane Horrocks, Jesse McCartney, Anjelica Huston",United States,15/6/2014,2014,G,78,
s5932,Movie,The Battered Bastards of Baseball,"Chapman Way, Maclain Way","Todd Field, Kurt Russell",United States,11/7/2014,2014,TV-MA,80,
s5931,Movie,Mission Blue,"Robert Nixon, Fisher Stevens","James Cameron, Michael deGruy, Sylvia Earle, Bryce Groark, Jeremy Jackson, Carl Safina","United States, Bermuda, Ecuador",15/8/2014,2014,TV-PG,94,
s5930,Movie,Print the Legend,"Luis Lopez, Clay Tweel",Unknown,United States,26/9/2014,2014,TV-14,100,
s5927,Movie,E-Team,"Katy Chevigny, Ross Kauffman",Unknown,United States,24/10/2014,2014,TV-MA,90,
s5928,Movie,Wyatt Cenac: Brooklyn,Wyatt Cenac,Wyatt Cenac,United States,21/10/2014,2014,TV-MA,68,
s5929,Movie,Chelsea Handler: Uganda Be Kidding Me Live,James Yukich,Chelsea Handler,United States,10/10/2014,2014,TV-MA,71,
s7098,Movie,Iron Man & Captain America: Heroes United,Leo Riley,"Adrian Pasdar, Roger Craig Smith, Fred Tatasciore, David Kaye, Clancy Brown, Liam O'Brien, Robin Atkin Downes, Dee Bradley Baker",United States,12/10/2014,2014,PG,71,
s5923,TV Show,Lilyhammer,Unknown,"Steven Van Zandt, Trond Fausa, Steinar Sagen, Robert Skjærstad, Tommy Karlsen, Fridtjov Såheim, Marian Saastad Ottesen","Norway, United States",21/11/2014,2014,TV-MA,,3
s5924,TV Show,Goosebumps,Unknown,R.L. Stine,Canada,19/11/2014,1998,TV-G,,5
s5925,Movie,Chelsea Peretti: One of the Greats,Lance Bangs,Chelsea Peretti,United States,14/11/2014,2014,TV-MA,75,
s5926,Movie,Virunga,Orlando von Einsiedel,Unknown,"United Kingdom,",7/11/2014,2014,TV-MA,100,
s5921,Movie,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,Unknown,"Will Arnett, Aaron Paul, Alison Brie, Adam Conover, Kristen Schaal, Fred Savage",United States,19/12/2014,2014,TV-MA,26,
s5922,Movie,Bill Burr: I'm Sorry You Feel That Way,Jay Karas,Bill Burr,United States,5/12/2014,2014,TV-MA,81,
s6841,Movie,Get Santa,Christopher Smith,"Jodie Whittaker, Warwick Davis, Jim Broadbent, Stephen Graham, Nonso Anozie, Rafe Spall, Ewen Bremner, Matt King","United Kingdom, United States",12/12/2014,2014,PG,103,
s7543,Movie,My Little Pony Equestria Girls: Rainbow Rocks,"Jayson Thiessen, Ishi Rudell","Tara Strong, Ashleigh Ball, Andrea Libman, Tabitha St. Germain, Cathy Weseluck, Rebecca Shoichet, Maryke Hendrikse, Kazumi Evans, Diana Kaarina","United States, Canada",17/12/2014,2014,TV-Y,73,
s7722,TV Show,Pee-wee's Playhouse,Unknown,Paul Reubens,United States,18/12/2014,1990,TV-PG,,5
s7723,Movie,Pee-wee's Playhouse: Christmas Special,"Paul Reubens, Wayne Orr","Paul Reubens, Annette Funicello, Frankie Avalon, Grace Jones, k.d. lang, Dinah Shore, Little Richard, Cher, Eadie del Rubio, Magic Johnson, Elena del Rubio, Zsa Zsa Gabor, Milly del Rubio, Whoopi Goldberg, Oprah Winfrey, Joan Rivers",United States,18/12/2014,1988,TV-PG,48,
s5920,Movie,Iliza Shlesinger: Freezing Hot,Unknown,Iliza Shlesinger,Unknown,23/1/2015,2015,TV-MA,72,
s5918,Movie,Ralphie May: Unruly,John Asher,Ralphie May,United States,27/2/2015,2015,TV-MA,83,
s5919,Movie,Virunga: Gorillas in Peril,Unknown,Unknown,United States,13/2/2015,2015,TV-14,29,
s8065,TV Show,Spartacus,Unknown,"Andy Whitfield, Liam McIntyre, Dustin Clare, John Hannah, Manu Bennett, Lucy Lawless, Peter Mensah, Nick E. Tarabay, Viva Bianca, Lesley-Ann Brandt, Jai Courtney, Daniel Feuerriegel",United States,1/2/2015,2013,TV-MA,,4
s8097,Movie,Stop at Nothing: The Lance Armstrong Story,Alex Holmes,Unknown,"Australia, United Kingdom, United States, New Zealand, Italy, France",15/2/2015,2014,NR,100,
s5915,TV Show,Oscar's Oasis,Unknown,Unknown,France,15/3/2015,2011,TV-Y,,1
s5916,Movie,Aziz Ansari Live at Madison Square Garden,Aziz Ansari,Aziz Ansari,United States,6/3/2015,2015,TV-MA,58,
s5917,Movie,My Own Man,David Sampliner,David Sampliner,United States,6/3/2015,2015,TV-MA,82,
s7369,TV Show,Mad Men,Unknown,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones, Christina Hendricks, Aaron Staton, Rich Sommer, John Slattery, Kiernan Shipka, Robert Morse, Michael Gladis, Christopher Stanley, Bryan Batt, Jared Harris, Jessica Paré, Alison Brie, Jay R. Ferguson, Ben Feldman, Mark Moses, Alexa Alemanni, Julie McNiven",United States,22/3/2015,2014,TV-14,,7
s7415,Movie,Marvel & ESPN Films Present: 1 of 1: Genesis,Eric Drath,"Manny Pacquiao, Michael Smith, Tony Hawk, Esther Howard, Alex Morgan, Danica Patrick, Russell Wilson, Carmelo Anthony, Dwight Howard, Joe Quesada, Albert Pujols, Brandi Chastain, Cal Ripken Jr.",Unknown,15/3/2015,2014,TV-PG,77,
s5914,Movie,Chris D'Elia: Incorrigible,Bill D'Elia,Chris D'Elia,United States,17/4/2015,2015,TV-MA,84,
s7301,TV Show,Life on Location,Unknown,David Attenborough,United States,22/4/2015,2009,TV-G,,1
s7573,TV Show,Nature's Great Events: Diaries,Unknown,David Attenborough,"United States, United Kingdom",22/4/2015,2009,TV-PG,,1
s7749,TV Show,Planet Earth: The Complete Collection,Alastair Fothergill,David Attenborough,United Kingdom,22/4/2015,2006,TV-PG,,1
s8084,TV Show,Star-Crossed,Unknown,"Aimee Teegarden, Matt Lanter, Grey Damon, Malese Jow, Greg Finley, Natalie Hall, Titus Makin Jr., Chelsea Gilligan",United States,16/4/2015,2014,TV-14,,1
s5911,Movie,Hot Girls Wanted,"Jill Bauer, Ronna Gradus",Unknown,United States,29/5/2015,2015,TV-MA,83,
s5912,Movie,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine),Lance Bangs,Jen Kirkman,United States,22/5/2015,2015,TV-MA,78,
s5913,Movie,The Other One: The Long Strange Trip of Bob Weir,Mike Fleiss,Bob Weir,United States,22/5/2015,2015,TV-14,84,
s7647,TV Show,Oh No! It's an Alien Invasion,Unknown,"Al Mukadam, Dan Chameroy, Seán Cullen, Stacey DePass, Barbara Mamabolo, Robert Tinkler, Ryan Cooley, Brianna Daguanno",Canada,31/5/2015,2014,TV-Y7-FV,,2
s7908,Movie,Russell Madness,Robert Vince,"David Milchard, John Ratzenberger, Will Sasso, Mason Vale Cotton, John Hennigan, Sean Giambrone, Charles Robinson, Mckenna Grace, Kate Reinders, Fred Willard",United States,10/5/2015,2015,PG,93,
s8595,Movie,Tinker Bell and the Legend of the NeverBeast,Steve Loter,"Ginnifer Goodwin, Mae Whitman, Rosario Dawson, Lucy Liu, Pamela Adlon, Raven-Symoné, Megan Hilty, Kari Wahlgren, Anjelica Huston, Jeff Corwin, Olivia Holt, Thomas Lennon, Chloe Bennet, Danai Gurira, Grey DeLisle, Peter Michael",United States,17/5/2015,2014,G,78,
s5906,Movie,Ralphie May: Imperfectly Yours,Anthony Pierce,Ralphie May,United States,29/6/2015,2015,TV-MA,69,
s5907,Movie,"What Happened, Miss Simone?",Liz Garbus,Unknown,United States,26/6/2015,2015,TV-14,103,
s5908,Movie,Advantageous,Jennifer Phang,"Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong, Jennifer Ehle, Samantha Kim, Troi Zee, Olivia Horton, Jennifer Ikeda, Mercedes Griffeth",United States,23/6/2015,2015,TV-MA,92,
s5909,TV Show,Danger Mouse: Classic Collection,Unknown,"David Jason, Terry Scott, Edward Kelsey, Brian Trueman",United Kingdom,15/6/2015,1992,TV-Y,,10
s5910,Movie,The Perfect Dictatorship,Luis Estrada,"Damián Alcázar, Alfonso Herrera, Joaquín Cosio, Osvaldo Benavides, Silvia Navarro, Flavio Medina, Saúl Lisazo, Tony Dalton",Mexico,1/6/2015,2014,TV-MA,143,
s8272,TV Show,The Day My Butt Went Psycho!,Unknown,"Mac Heywood, Robert Tinkler, Bryn McAuley, Kedar Brown, Julie Lemieux, Ted Dykstra, Mark Edwards, Joe Pingue","Canada, Australia",30/6/2015,2015,TV-Y7,,2
s5901,TV Show,Wet Hot American Summer,Unknown,"Elizabeth Banks, Lake Bell, H. Jon Benjamin, Michael Ian Black, Michael Cera, Josh Charles, Bradley Cooper, Judah Friedlander, Janeane Garofalo, Jon Hamm, Nina Hellman, Joe Lo Truglio, Ken Marino, Christopher Meloni, A.D. Miles, Marguerite Moreau, Zak Orth, Jordan Peele, David Hyde Pierce, Chris Pine, Amy Poehler, Paul Rudd, Marisa Ryan, Jason Schwartzman, Molly Shannon, Michael Showalter, John Slattery, Kevin Sussman, David Wain, Kristen Wiig",United States,31/7/2015,2015,TV-MA,,1
s5902,Movie,Tig,"Kristina Goolsby, Ashley York",Tig Notaro,United States,17/7/2015,2015,TV-14,92,
s5903,TV Show,H2O: Mermaid Adventures,Unknown,"Sonja Ball, Holly Gauthier-Frankel, Thor Bishopric, Angela Galuppo","Germany, Australia, France, China",15/7/2015,2015,TV-Y7,,2
s5904,Movie,Creep,Patrick Brice,"Mark Duplass, Patrick Brice",United States,14/7/2015,2014,R,78,
s5905,Movie,Chris Tucker Live,Phil Joanou,Chris Tucker,United States,10/7/2015,2015,TV-MA,92,
s7501,Movie,"Monster High: Scaris, City of Frights","Dustin McKenzie, Andrew Duncan, Audu Paden","Laura Bailey, Cam Clarke, Erin Fitzgerald, Dee Dee Green, Celeste Henderson, Kate Higgins, Jonathan Lipow, Julie Maddalena, Dustin McKenzie, Audu Paden",United States,7/7/2015,2013,TV-G,60,
s8454,Movie,The Physician,Philipp Stölzl,"Tom Payne, Ben Kingsley, Stellan Skarsgård, Olivier Martinez, Emma Rigby, Elyas M'Barek, Fahri Yardim, Makram Khoury, Michael Marcus",Germany,15/7/2015,2013,R,155,
s5900,Movie,Demetri Martin: Live (At the Time),Jay Karas,Demetri Martin,United States,14/8/2015,2015,TV-MA,62,
s8777,Movie,Yellowbird,Christian De Vita,"Dakota Fanning, Seth Green, Christine Baranski, Zachary Gordon, Richard Kind, Danny Glover, Elliott Gould, Ryan Lee, Jim Rash, Yvette Nicole Brown, Kostja Ullmann","France, Belgium",5/8/2015,2014,PG,90,
s5897,Movie,Keith Richards: Under the Influence,Morgan Neville,Keith Richards,United States,18/9/2015,2015,TV-14,82,
s5898,Movie,Cowspiracy: The Sustainability Secret,"Kip Andersen, Keegan Kuhn",Kip Andersen,United States,15/9/2015,2014,TV-PG,90,
s5899,Movie,6 Years,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,8/9/2015,2015,TV-MA,80,
s6942,TV Show,Haven,Unknown,"Emily Rose, Lucas Bryant, Nicholas Campbell, Eric Balfour, Richard Donat, John Dunsworth, Maurice Dean Wint, Adam Copeland","Canada, United States",8/9/2015,2015,TV-14,,5
s7466,Movie,Miss Julie,Liv Ullmann,"Jessica Chastain, Colin Farrell, Samantha Morton, Nora McMenamy","Norway, United Kingdom, France, Ireland",2/9/2015,2014,PG-13,130,
s7491,Movie,"Monster High: Boo York, Boo York",William Lau,"Karen Strassman, Celeste Henderson, Wendee Lee, TJ Smith, America Young, Rachel Staman, Laura Bailey",United States,29/9/2015,2015,TV-Y7,72,
s8046,Movie,SMOSH: The Movie,Alex Winter,"Ian Hecox, Anthony Padilla, Jenna Marbles, Grace Helbig, Harley Morenstein, Jillian Nelson, Brittany Ross, Michael Ian Black, Steve Austin",United States,22/9/2015,2015,PG-13,83,
s5887,Movie,Manson Family Vacation,J. Davis,"Jay Duplass, Linas Phillips, Leonora Pitts, Adam Chernick, Davie-Blue, Suzanne Ford, Tobin Bell",United States,27/10/2015,2015,TV-MA,85,
s5888,Movie,Walt Disney Animation Studios Short Films Collection,"Chris Buck, Jennifer Lee, Patrick Osborne, Lauren MacMullan, John Kahrs, Nathan Greno, Byron Howard, Stevie Wermers, Dean Wellins, Kevin Deters, Roger Allers, Mike Gabriel, Mark Henn","Kristen Bell, Josh Gad, Jonathan Groff, Idina Menzel, Geoffrey Jones, Alfre Woodard, Carrie Harrington, Tim Hodge, David Murray, Sarah Chalke, Dave Foley, Derek Richardson, Betty White, Zachary Levi, Mandy Moore",United States,25/10/2015,2015,TV-Y,90,
s5889,TV Show,Hemlock Grove,Eli Roth,"Famke Janssen, Landon Liboiron, Dougray Scott, Bill Skarsgård, Joel de la Fuente, Kaniehtiio Horn, Madeleine Martin, Michael Andreae, Penelope Mitchell, Freya Tingley, Laurie Fortier, Nicole Boivin, Ted Dykstra, Lili Taylor, Aaron Douglas, Kandyse McClure, Marty Adams, Demore Barnes, Madeline Brewer",United States,23/10/2015,2015,TV-MA,,3
s5890,Movie,Results,Andrew Bujalski,"Guy Pearce, Cobie Smulders, Kevin Corrigan, Giovanni Ribisi, Anthony Michael Hall, Brooklyn Decker, Constance Zimmer, Tishuan Scott",United States,22/10/2015,2015,R,105,
s5891,Movie,Anthony Jeselnik: Thoughts and Prayers,Adam Dubin,Anthony Jeselnik,United States,16/10/2015,2015,TV-MA,59,
s5892,Movie,Beasts of No Nation,Cary Joji Fukunaga,"Idris Elba, Abraham Attah, Kurt Egyiawan, Jude Akuwudike, Emmanuel ""King Kong"" Nii Adom Quaye, Ama K. Abebrese, Kobina Amissah Sam, Francis Weddey, Richard Pepple",United States,16/10/2015,2015,TV-MA,137,
s5893,Movie,Circle,"Aaron Hann, Mario Miscione","Julie Benz, Mercy Malick, Carter Jenkins, Molly Jackson, Michael Nardelli, Sara Sanderson, Kevin Sheridan, Cesar Garcia, Lisa Pelikan, Zachary James Rukavina, Lawrence Kao, Jordi Vilasuso, Kaiwi Lyman-Mersereau, Michael McLafferty, Allegra Masters, Autumn Federici, John Edward Lee, Matt Corboy",United States,16/10/2015,2015,TV-MA,86,
s5894,Movie,Winter on Fire: Ukraine's Fight for Freedom,Evgeny Afineevsky,Unknown,"United Kingdom, Ukraine, United States",9/10/2015,2015,TV-MA,99,
s5895,Movie,Anjelah Johnson: Not Fancy,Jay Karas,Anjelah Johnson-Reyes,United States,2/10/2015,2015,TV-14,64,
s5896,TV Show,Wakfu: The Quest for the Six Eliatrope Dofus,Unknown,"Fanny Bloc, Jules De Jongh, Patrick Béthune, Hugo Chandor, Adeline Chetail, Jessica Bell, Thomas Guitard, Ross Grant, Geneviève Doang",Unknown,1/10/2015,2014,TV-PG,,1
s7237,Movie,Kristy,Oliver Blackburn,"Haley Bennett, Ashley Greene, Erica Ash, Lucas Till, Chris Coy, Al Vicente, Wayne Pére, Jon Arthur, Mike Seal",United States,31/10/2015,2013,NR,85,
s7572,TV Show,Nature's Great Events (2009),Unknown,David Attenborough,"United States, United Kingdom",10/10/2015,2009,TV-PG,,1
s8113,Movie,Suburra,Stefano Sollima,"Pierfrancesco Favino, Elio Germano, Claudio Amendola, Alessandro Borghi, Greta Scarano, Giulia Gorietti, Jean-Hugues Anglade, Antonello Fassari, Lidia Vitale","Italy, France",14/10/2015,2015,NR,135,
s8215,TV Show,The Blue Planet: A Natural History of the Oceans,Alastair Fothergill,David Attenborough,United Kingdom,10/10/2015,2001,TV-G,,1
s5884,Movie,Naomi and Ely's No Kiss List,Kristin Hanggi,"Victoria Justice, Pierson Fode, Matthew Daddario, Ryan Ward, Griffin Newman, Monique Coleman, Danny Flaherty",United States,18/11/2015,2015,TV-MA,91,
s5885,Movie,John Mulaney: The Comeback Kid,Rhys Thomas,John Mulaney,United States,13/11/2015,2015,TV-MA,62,
s5886,TV Show,W/ Bob & David,Unknown,"David Cross, Bob Odenkirk, John Ennis, Jay Johnston, Brian Posehn, Jill Talley, Paul F. Tompkins, Tom Kenny, Brett Paesel",United States,13/11/2015,2015,TV-MA,,1
s7149,TV Show,Julius Jr.,Unknown,"Elizabeth Daily, Julie Lemieux, Athena Karkanis, Benjamin Israel, Stephanie Lynn Robinson",United States,3/11/2015,2014,TV-Y,,2
s5877,Movie,Marco Polo: One Hundred Eyes,Alik Sakharov,"Tom Wu, Benedict Wong, Michelle Yeoh",United States,26/12/2015,2015,TV-MA,29,
s5878,TV Show,Sammy & Co,Unknown,Unknown,France,25/12/2015,2014,TV-Y,,1
s5879,Movie,Mike Epps: Don't Take It Personal,L. Frazier,Mike Epps,United States,18/12/2015,2015,TV-MA,60,
s5880,Movie,The Ridiculous 6,Frank Coraci,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner, Rob Schneider, Luke Wilson, Will Forte, Steve Zahn, Harvey Keitel, Nick Nolte, Jon Lovitz, Whitney Cummings, David Spade, Danny Trejo, Nick Swardson, Blake Shelton, Vanilla Ice, Julia Jones, Saginaw Grant, Lavell Crawford, Steve Buscemi",United States,11/12/2015,2015,TV-14,120,
s5881,Movie,"Trailer Park Boys: Drunk, High and Unemployed: Live in Austin","Gary Howsam, Mike Smith, John Paul Tremblay, Robb Wells","Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Pat Roach, Tom Green, Verne Troyer, Jonathan Torrens",Canada,9/12/2015,2015,TV-MA,74,
s5882,Movie,A Very Murray Christmas,Sofia Coppola,"Bill Murray, Miley Cyrus, George Clooney, Chris Rock, Amy Poehler, Michael Cera, Maya Rudolph, Rashida Jones, Jason Schwartzman, Paul Shaffer, Jenny Lewis, Phoenix",United States,4/12/2015,2015,TV-14,57,
s5883,TV Show,Atelier,Unknown,"Mirei Kiritani, Mao Daichi, Wakana Sakai, Masako Chiba, Maiko, Ken Kaito, Dori Sakurada, Nicole Ishida, Mayuko Kawakita",Japan,1/12/2015,2015,TV-PG,,1
s6253,TV Show,Battle Creek,Unknown,"Josh Duhamel, Dean Winters, Aubrey Dollar, Edward Fordham Jr., Kal Penn, Janet McTeer, Liza Lapira, Damon Herriman, Meredith Eaton",United States,31/12/2015,2015,TV-14,,1
s6349,Movie,Bob's Broken Sleigh,Jay Surridge,"Cole Howard, Bruce Greenwood, Victor Garber, Michael Adamthwaite, Raini Rodriguez, Colin Murdock, Maryke Hendrikse, Sam Vincent, Gabe Khouth",Canada,17/12/2015,2015,TV-G,47,
s6748,Movie,Fifty,Biyi Bandele,"Dakore Akande, Ireti Doyle, Nse Ikpe-Etim, Omoni Oboli",Nigeria,28/12/2015,2015,NR,101,
s6936,TV Show,Hart of Dixie,Unknown,"Rachel Bilson, Jaime King, Cress Williams, Wilson Bethel, Scott Porter, Tim Matheson, Kaitlyn Black, Ross Philips",United States,15/12/2015,2014,TV-PG,,4
